Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Europe,Poland,EU Parliament,2009,0.2453,7497296,30565272,0.2404,31188739,37810554,0.0177,No
Europe,Poland,EU Parliament,2004,0.2087,6258550,29986109,0.2149,29125904,38190608,0.0267,No
Europe,Portugal,Parliamentary,2022,0.5796,5389705,9298390,0.6278,8584844,10242081,0.0207,No
Europe,Portugal,Parliamentary,2019,0.4857,5251064,10810240,0.6129,8567996,10328384,0.0487,No
Europe,Portugal,Parliamentary,2015,0.5584,5408092,9684922,0.6175,8757878,10825309,0.037,No
Europe,Portugal,Parliamentary,2011,0.5803,5585054,9624354,0.6449,8660198,10760305,0.0408,No
Europe,Portugal,Parliamentary,2009,0.5968,5681258,9519921,0.6614,8589299,10707924,0.031,No
Europe,Portugal,Parliamentary,2005,0.6426,5747834,8944508,0.6923,8302150,10524145,0.029,No
Europe,Portugal,Parliamentary,2002,0.6284,5582146,8882561,0.6862,8135142,10066253,0.019,No
Europe,Portugal,Presidential,2021,0.3924,4262672,10864327,0.4969,8577945,10263850,0.0204,No
Europe,Portugal,Presidential,2016,0.487,4740008,9732123,0.5398,8781766,10833816,0.0216,No
Europe,Portugal,Presidential,2011,0.4652,4492297,9656797,0.5187,8660198,10760305,0.0507,No
Europe,Portugal,Presidential,2006,0.6153,5590132,9085339,0.6697,8347336,10566212,0.018,No
Europe,Portugal,Presidential,2001,0.5003,4468442,8932106,0.5719,7812959,9963604,0.029,No
Europe,Portugal,EU Parliament,2019,0.3075,3307644,10757192,0.386,8567996,10328384,0.0692,No
Europe,Portugal,EU Parliament,2014,0.3367,3284452,9753568,0.3756,8744169,10813834,0.0742,No
Europe,Portugal,EU Parliament,2009,0.3678,3568943,9704559,0.4155,8589299,10707924,0.0196,No
Europe,Portugal,EU Parliament,2004,0.386,3404782,8821456,0.4059,8388871,10524145,0.04,No
Asia,Qatar,Parliamentary,2021,0.635,0,0,0,2104798,2479995,0,No
Africa,Republic of The Congo (Brazzaville),Parliamentary,2017,0.4223,938136,2221596,0.3583,2617983,4954674,0.0282,No
Africa,Republic of The Congo (Brazzaville),Parliamentary,2002,0.6936,1202611,1733943,0.8039,1495914,2894336,0,No
Africa,Republic of The Congo (Brazzaville),Parliamentary,2007,0,0,0,0,1793799,3802332,0,No
Africa,Republic of The Congo (Brazzaville),Presidential,2021,0.6717,1776786,2645283,0.6237,2848569,5417414,0.0197,No
Africa,Republic of The Congo (Brazzaville),Presidential,2016,0.6892,1489961,2161839,0.5795,2571218,4852412,0.0645,No
Africa,Republic of The Congo (Brazzaville),Presidential,2009,0.6642,1380651,2078802,0.7256,1902820,4012809,0.0278,No
Africa,Republic of The Congo (Brazzaville),Presidential,2002,0.747,1295319,1733943,0.8659,1495914,2894336,0.0716,No
Europe,Romania,Parliamentary,2020,0.3184,5793135,18191396,0.328,17663694,21302893,0,No
Europe,Romania,Parliamentary,2016,0.3779,7323368,18403044,0.4112,17810217,21599736,0.0377,No
Europe,Romania,Parliamentary,2012,0.4176,7694180,18423066,0.4281,17974764,21848504,0.0361,No
Europe,Romania,Parliamentary,2008,0.392,7238871,18464274,0.4048,17882585,22060808,0.0486,No
Europe,Romania,Parliamentary,2004,0.5851,10794653,18449344,0.6226,17338014,22355551,0.052,No
Europe,Romania,Parliamentary,2000,0.6531,11559458,17699727,0.6216,18597776,22303305,0.062,No
Europe,Romania,Presidential,2019,0.5118,9359673,18286865,0.5284,17711736,21381356,0.0153,No
Europe,Romania,Presidential,2014,0.6411,11719344,18280994,0.6642,17645517,21729871,0.0142,No
Europe,Romania,Presidential,2009,0.5802,10620116,18303224,0.5924,17928402,22011818,0.0131,No
Europe,Romania,Presidential,2004,0.5521,10112262,18316104,0.5832,17338014,22355551,0.0103,No
Europe,Romania,Presidential,2000,0.5662,10020870,17699727,0.5388,18597776,22303305,0,No
Europe,Romania,EU Parliament,2019,0.512,9352472,18267256,0.528,17711736,21381356,0.0293,No
Europe,Romania,EU Parliament,2014,0.3244,5911794,18221061,0.335,17645517,29729871,0,No
Europe,Romania,EU Parliament,2009,0.2767,5035299,18197316,0.2809,17928402,22011818,0.0386,No
Europe,Romania,EU Parliament,2007,0.2947,5370171,18220601,0.2691,19954907,21565119,0.046,No
Europe,Russian Federation,Parliamentary,2021,0.5158,56329690,109204662,0.4964,113487504,142320790,0.0208,No
Europe,Russian Federation,Parliamentary,2016,0.4788,52700922,110061200,0.4604,114473081,142355415,0.0186,No
Europe,Russian Federation,Parliamentary,2011,0.601,65656526,109237780,0.5796,113276186,138739892,0.0157,No
Europe,Russian Federation,Parliamentary,2007,0.6371,69537065,109145517,0.6191,112315296,141377752,0.011,No
Europe,Russian Federation,Parliamentary,2003,0.5567,60633179,108906244,0.5434,111586387,144526278,0.016,No
Europe,Russian Federation,Presidential,2018,0.675,73579096,109008428,0.6478,113590588,142122776,0.0108,No
Europe,Russian Federation,Presidential,2012,0.6527,71701665,109860331,0.6337,113140987,138082178,0.0117,No
Europe,Russian Federation,Presidential,2008,0.6971,74747649,107222016,0.6537,114346351,140702094,0.014,No
Europe,Russian Federation,Presidential,2004,0.6439,69581761,108064281,0.6222,111833865,144526278,0.009,No
Europe,Russian Federation,Presidential,2000,0.6864,75070776,109372046,0.6885,109037258,146595254,0.009,No
Africa,Rwanda,Parliamentary,2018,0.9304,6673483,7172612,1.0431,6397743,12187400,0.0018,No
Africa,Rwanda,Parliamentary,2013,0.988,5881874,5953531,0.9938,5918583,12012589,0,No
Africa,Rwanda,Parliamentary,2008,0.985,4697689,4769228,0.936,5018694,10186063,0.012,No
Africa,Rwanda,Parliamentary,2003,0.9648,3818603,3958058,0.8992,4246897,8162715,0.015,No
Africa,Rwanda,Presidential,2017,0.9815,6769514,6897076,1.091,6203204,11901484,0.0018,No
Africa,Rwanda,Presidential,2010,0.9751,5049302,5178492,0.8917,5662407,11055976,0.0131,No
Africa,Rwanda,Presidential,2003,0.9655,3812567,3948749,0.8977,4246897,8162715,0.022,No
North America,Saint Kitts and Nevis,Parliamentary,2022,0.5803,29554,50933,0.7056,41885,54488,0.0076,No
